iter	Passed	Remaining
0	56	56752
1	57	28508
2	57	19082
3	57	14357
4	57	11532
5	58	9641
6	58	8290
7	58	7275
8	58	6490
9	59	5869
10	59	5369
11	59	4937
12	60	4571
13	60	4262
14	60	3990
15	61	3754
16	61	3543
17	61	3359
18	61	3191
19	62	3041
20	62	2904
21	62	2783
22	62	2671
23	63	2567
24	63	2473
25	63	2384
26	63	2303
27	64	2228
28	64	2157
29	64	2091
30	64	2030
31	65	1971
32	65	1917
33	65	1867
34	65	1819
35	66	1774
36	66	1733
37	66	1692
38	67	1653
39	67	1618
40	67	1582
41	67	1549
42	68	1517
43	68	1487
44	68	1457
45	68	1430
46	69	1403
47	69	1379
48	69	1356
49	70	1332
50	70	1309
51	70	1287
52	70	1266
53	71	1245
54	71	1225
55	71	1206
56	71	1187
57	72	1169
58	72	1152
59	72	1136
60	72	1120
61	73	1105
62	73	1089
63	73	1075
64	73	1060
65	74	1047
66	74	1035
67	74	1022
68	74	1011
69	75	998
70	75	987
71	75	976
72	76	965
73	76	954
74	76	944
75	76	933
76	77	924
77	77	914
78	77	904
79	77	895
80	78	886
81	78	877
82	78	867
83	78	858
84	79	850
85	79	843
86	79	835
87	79	827
88	80	819
89	80	812
90	80	804
91	80	798
92	81	791
93	81	784
94	81	777
95	81	771
96	82	764
97	82	759
98	82	752
99	83	747
100	83	741
101	83	736
102	83	731
103	84	726
104	84	720
105	85	717
106	85	712
107	85	707
108	85	702
109	86	696
110	86	691
111	86	687
112	86	682
113	87	677
114	87	672
115	87	668
116	87	663
117	88	659
118	88	654
119	88	650
120	88	646
121	89	641
122	89	637
123	89	633
124	89	629
125	90	625
126	90	621
127	90	617
128	90	613
129	91	609
130	91	605
131	91	602
132	91	598
133	92	595
134	92	591
135	92	588
136	92	584
137	93	581
138	93	578
139	93	575
140	93	572
141	94	568
142	94	565
143	94	562
144	94	558
145	95	555
146	95	552
147	95	549
148	95	547
149	96	544
150	96	541
151	96	538
152	96	536
153	97	533
154	97	530
155	97	528
156	97	525
157	98	523
158	98	520
159	98	518
160	98	515
161	99	512
162	99	510
163	99	508
164	99	505
165	100	503
166	100	501
167	100	498
168	100	496
169	101	493
170	101	491
171	101	489
172	101	487
173	102	485
174	102	482
175	102	480
176	102	478
177	103	476
178	103	474
179	103	473
180	104	471
181	104	469
182	104	467
183	104	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	452
191	107	450
192	107	448
193	107	447
194	107	445
195	108	443
196	108	442
197	108	440
198	109	438
199	109	437
200	109	435
201	109	433
202	110	432
203	110	430
204	110	428
205	110	427
206	111	426
207	111	424
208	111	423
209	112	421
210	112	420
211	112	418
212	112	417
213	113	415
214	113	414
215	113	412
216	114	411
217	114	409
218	114	408
219	114	406
220	115	405
221	115	404
222	115	402
223	115	401
224	116	399
225	116	398
226	116	396
227	116	395
228	116	393
229	117	392
